Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,25879,7124,386,51688.164062,0.007468
2,1000,0.6,0.2,50.0,1000,20177,5924,615,49388.992188,0.012452
3,1000,0.6,0.2,50.0,1000,22728,6464,518,48988.093750,0.010574
4,1000,0.6,0.2,50.0,1000,32947,8790,155,49517.031250,0.003130
5,1000,0.6,0.2,50.0,1000,20871,6099,614,52190.375000,0.011765
6,1000,0.6,0.2,50.0,1000,23823,6761,504,51234.976562,0.009837
7,1000,0.6,0.2,50.0,1000,30443,8281,240,48929.441406,0.004905
8,1000,0.6,0.2,50.0,1000,26304,7253,413,50376.167969,0.008198
9,1000,0.6,0.2,50.0,1000,32890,8837,194,50873.171875,0.003813
10,1000,0.6,0.2,50.0,1000,34735,9169,110,50820.042969,0.002165
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,33726,6858,626,49715.496094,0.012592
2,1000,0.8,0.2,50.0,1000,33642,6767,630,49393.035156,0.012755
3,1000,0.8,0.2,50.0,1000,33427,6609,608,48762.992188,0.012468
4,1000,0.8,0.2,50.0,1000,34965,6955,677,51247.078125,0.013211
5,1000,0.8,0.2,50.0,1000,33190,6630,643,48891.792969,0.013151
6,1000,0.8,0.2,50.0,1000,33837,6748,681,50274.046875,0.013546
7,1000,0.8,0.2,50.0,1000,32621,6485,641,48206.476562,0.013297
8,1000,0.8,0.2,50.0,1000,34412,6920,651,50590.242188,0.012868
9,1000,0.8,0.2,50.0,1000,34014,6870,658,50078.246094,0.013139
10,1000,0.8,0.2,50.0,1000,34190,6837,661,50046.031250,0.013208
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,13320,2723,332,49996.500000,0.006640
2,1000,0.8,0.2,50.0,1000,13459,2690,335,49501.500000,0.006767
3,1000,0.8,0.2,50.0,1000,11820,2402,282,48488.941406,0.005816
4,1000,0.8,0.2,50.0,1000,13078,2677,374,52216.500000,0.007162
5,1000,0.8,0.2,50.0,1000,13772,2682,355,49735.500000,0.007138
6,1000,0.8,0.2,50.0,1000,14865,3037,381,50932.500000,0.007480
7,1000,0.8,0.2,50.0,1000,13048,2509,341,48991.500000,0.006960
8,1000,0.8,0.2,50.0,1000,14000,2807,382,50869.500000,0.007509
9,1000,0.8,0.2,50.0,1000,12486,2501,330,48937.500000,0.006743
10,1000,0.8,0.2,50.0,1000,13397,2660,346,49773.000000,0.006952
