Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50,1000,2417,2162,999,49955,0.019998
2,1000,0.1,0.2,50,1000,2550,2284,999,50036,0.019966
3,1000,0.1,0.2,50,1000,2517,2264,999,50569,0.019755
4,1000,0.1,0.2,50,1000,2385,2137,999,50250,0.019881
5,1000,0.1,0.2,50,1000,2382,2136,999,51908,0.019246
6,1000,0.1,0.2,50,1000,2423,2203,999,50075,0.01995
7,1000,0.1,0.2,50,1000,2489,2226,999,50033,0.019967
8,1000,0.1,0.2,50,1000,2466,2227,999,50864,0.019641
9,1000,0.1,0.2,50,1000,2508,2231,999,49179,0.020314
10,1000,0.1,0.2,50,1000,2439,2198,999,49715.54688,0.020094
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50,1000,2922,2312,999,49025,0.020377
2,1000,0.2,0.2,50,1000,3066,2485,998,50186,0.019886
3,1000,0.2,0.2,50,1000,2996,2390,999,49533,0.020168
4,1000,0.2,0.2,50,1000,2854,2300,999,49448,0.020203
5,1000,0.2,0.2,50,1000,2847,2283,997,50626,0.019693
6,1000,0.2,0.2,50,1000,2991,2386,998,53235,0.018747
7,1000,0.2,0.2,50,1000,3030,2382,999,49771,0.020072
8,1000,0.2,0.2,50,1000,2933,2374,999,50016,0.019974
9,1000,0.2,0.2,50,1000,31199,7319,300,49000,0.006122
10,1000,0.2,0.2,50,1000,3037,2424,999,49531,0.020169
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50,1000,4896,2921,999,49334,0.02025
2,1000,0.4,0.2,50,1000,4873,2892,998,49094.84375,0.020328
3,1000,0.4,0.2,50,1000,5074,3032,999,48697,0.020515
4,1000,0.4,0.2,50,1000,4784,2842,999,50794,0.019668
5,1000,0.4,0.2,50,1000,4998,3012,999,49794,0.020063
6,1000,0.4,0.2,50,1000,4759,2801,999,50449,0.019802
7,1000,0.4,0.2,50,1000,5120,3036,999,51757,0.019302
8,1000,0.4,0.2,50,1000,4843,2946,999,50638,0.019728
9,1000,0.4,0.2,50,1000,4873,2922,999,48479,0.020607
10,1000,0.4,0.2,50,1000,5010,3026,999,50009,0.019976
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50,1000,10893,4374,998,49383,0.020209
2,1000,0.6,0.2,50,1000,10501,4114,998,49995,0.019962
3,1000,0.6,0.2,50,1000,11593,4633,999,49781,0.020068
4,1000,0.6,0.2,50,1000,10208,4104,996,49258,0.02022
5,1000,0.6,0.2,50,1000,22088,6299,676,49331,0.013703
6,1000,0.6,0.2,50,1000,38111,8771,187,51515,0.00363
7,1000,0.6,0.2,50,1000,36643,8531,223,49682,0.004489
8,1000,0.6,0.2,50,1000,10089,3966,996,50127,0.01987
9,1000,0.6,0.2,50,1000,10356,4076,998,48916,0.020402
10,1000,0.6,0.2,50,1000,10564,4229,999,49437,0.020208
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50,1000,18239,3689,458,49018,0.009344
2,1000,0.8,0.2,50,1000,18748,3802,463,49728,0.009311
3,1000,0.8,0.2,50,1000,18280,3667,418,49499,0.008445
4,1000,0.8,0.2,50,1000,18097,3716,500,49574,0.010086
5,1000,0.8,0.2,50,1000,17623,3491,441,49920,0.008834
6,1000,0.8,0.2,50,1000,19490,3965,499,50940,0.009796
7,1000,0.8,0.2,50,1000,19796,3858,506,50144,0.010091
8,1000,0.8,0.2,50,1000,17680,3641,440,49298,0.008925
9,1000,0.8,0.2,50,1000,18782,3717,481,50932,0.009444
10,1000,0.8,0.2,50,1000,18463,3665,476,49023,0.00971
